X,Y,OBJECTID,KC_Fac_FID,KCParkFID,SiteName,SiteType,Owner,OwnerType,Manager,ManageType,Maintd_By,MaintType,Label_Type
-122.391548829046,47.6966970651421,507,2405,3263502,North Beach Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,0
-122.391047015223,47.6947221580441,508,2405,3263502,North Beach Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-121.788258867259,47.4933365134204,509,5070,8230906,Gardiner Weeks Memorial Park,Park Site,City of North Bend,City,City of North Bend,City,City of North Bend,City,0
-121.78882641284,47.4926970579142,510,5070,8230906,Gardiner Weeks Memorial Park,Park Site,City of North Bend,City,City of North Bend,City,City of North Bend,City,1
-122.299310162891,47.6852674648913,511,2278,4250401,Dahl Playfield,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.284526896861,47.5189981533682,512,7075,4243403,Benefit Playground,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,0
-122.284061498329,47.5189970088896,513,7075,4243403,Benefit Playground,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.277485488127,47.6526966706746,514,7117,4251503,Laurelhurst Triangle,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.038644173186,47.5866101784884,515,2688,6240901,Pine Lake Park,Park Site,City of Sammamish,City,City of Sammamish,City,City of Sammamish,City,0
-122.038549435187,47.5875916501465,516,2688,6240901,Pine Lake Park,Park Site,City of Sammamish,City,City of Sammamish,City,City of Sammamish,City,1
-122.176758020171,47.5363938312088,517,2623,5242801,Hazelwood Park,Park Site,City of Newcastle,City,City of Newcastle,City,City of Newcastle,City,0
-122.180495346408,47.5369808662527,518,2623,5242801,Hazelwood Park,Park Site,City of Newcastle,City,City of Newcastle,City,City of Newcastle,City,1
-122.181208956105,47.4090116110447,519,2331,5220901,Green Tree Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,0
-122.180733468609,47.4090000833301,520,2331,5220901,Green Tree Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1
-122.124944892338,47.6770508799698,521,2654,5250203,Edge Skate Park,Park Site,City of Redmond,City,City of Redmond,City,City of Redmond,City,1
-122.204849074743,47.4827989761105,522,2813,5231704,Jones Park,Park Site,City of Renton,City,City of Renton,City,City of Renton,City,1
-122.208499072642,47.4832223132787,523,2813,5231704,Jones Park,Park Site,City of Renton,City,City of Renton,City,City of Renton,City,2
-122.302229258223,47.674118149485,524,7093,4250902,Ravenna Ravine,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.390625718869,47.6346734780527,525,6977,3252302,Thorndyke Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,0
-122.389691448911,47.6355296636878,526,6977,3252302,Thorndyke Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-121.880709099148,47.5329929196344,527,5170,7242610,Raven Park,Park Site,City of Snoqualmie,City,City of Snoqualmie,City,City of Snoqualmie,City,1
-122.060322898498,47.5394007813697,528,2355,6242901,Tibbetts Valley Park,Park Site,City of Issaquah,City,City of Issaquah,City,City of Issaquah,City,1
-122.05974668714,47.5978097342425,529,5096,6240501,Ebright Creek Park,Park Site,City of Sammamish,City,City of Sammamish,City,City of Sammamish,City,1
-122.199738639954,47.482397200186,530,2829,5231703,Liberty Park,Park Site,City of Renton,City,City of Renton,City,City of Renton,City,0
-122.200242265194,47.4827055748443,531,2829,5231703,Liberty Park,Park Site,City of Renton,City,City of Renton,City,City of Renton,City,1
-122.135686717212,47.5598154188801,532,5053,5241403,Whispering Heights Open Space,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,1
-122.120105404198,47.6580783565234,533,2587,5251201,Marymoor Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.10821301378,47.6573162199535,534,2587,5251201,Marymoor Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.222915067086,47.3120903080741,535,2395,5211802,Veterans Memorial Park - Auburn,Park Site,City of Auburn,City,City of Auburn,City,City of Auburn,City,1
-122.454259737133,47.3452991166669,536,5102,3210501,Piner Point Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.455876775484,47.3440592682267,537,5102,3210501,Piner Point Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.047275392549,47.3812145769935,538,4277,6222102,Lake Wilderness Local Extension,Park Site,City of Maple Valley,City,City of Maple Valley,City,City of Maple Valley,City,0
-122.047415808356,47.3804151114072,539,4277,6222102,Lake Wilderness Local Extension,Park Site,City of Maple Valley,City,City of Maple Valley,City,City of Maple Valley,City,1
-122.01363698964,47.3705013785956,540,2664,6222601,Rock Creek Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.01377936494,47.3747507207746,541,2664,6222601,Rock Creek Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.299373492665,47.7179560242635,542,6932,4262805,Virgil Flaim Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.319411582843,47.6430520983643,543,7010,4252002,Roanoke Park - Seattle,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,0
-122.320223005433,47.6438369862105,544,7010,4252002,Roanoke Park - Seattle,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.146040448571,47.5524591763284,545,5018,5242212,Forest Park Meadows Open Space,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,0
-122.14456575757,47.5510300334538,546,5018,5242212,Forest Park Meadows Open Space,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,1
-122.367176994506,47.5658173127781,547,7192,3241301,Longfellow Creek GS: North,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,0
-122.367126409215,47.566531267375,548,7192,3241301,Longfellow Creek GS: North,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-121.972223471569,47.3995221317125,549,2757,7221801,Levdansky Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.069051496718,47.7296649108361,550,2982,6262002,Middle Bear Creek Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.072161677122,47.724307219599,551,2982,6262002,Middle Bear Creek Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.326664605517,47.3878105818016,552,5316,4221703,South 239th Beach Access,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,1
-122.085503671416,47.7558941107411,553,2734,6260701,Cottage Lake Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.247479829527,47.2813212398653,554,8126,4212504,Junction Park,Park Site,City of Algona,City,City of Algona,City,City of Algona,City,1
-122.161553541708,47.6309129754091,555,6906,5252702,Viewpoint Park - Bellevue,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,1
-122.382122905672,47.2988292241539,556,6921,3212301,Wedgwood Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,1
-122.227243972218,47.6372110802395,557,5098,5251905,D. K. McDonald Park,Park Site,City of Hunts Point,City,City of Hunts Point,City,City of Hunts Point,City,1
-122.077817256546,47.3668748264306,558,5323,6222901,Evergreen Park - Covington,Park Site,City of Covington,City,City of Covington,City,City of Covington,City,1
-122.291162847482,47.2874319965268,559,2795,4212202,Lake Killarney Open Space,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,1
-122.349210692193,47.7321412287991,560,6964,4261905,Bitter Lake Reservoir Open Space,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.282097047823,47.5482191763372,561,2291,4242203,Brighton Playfield,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.354202670524,47.5727969121218,562,7581,4241803,Terminal 18 Park,Park Site,Port of Seattle,Other Government,Port of Seattle,Other Government,Port of Seattle,Other Government,1
-122.321642780871,47.6410896695821,563,7122,4252004,Harvard-Miller/Roanoke Annex,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.255802849705,47.2592815188397,564,15346,4213504,Otter Park,Park Site,City of Pacific,City,City of Pacific,City,City of Pacific,City,0
-122.255853869285,47.2591765929752,565,15346,4213504,Otter Park,Park Site,City of Pacific,City,City of Pacific,City,City of Pacific,City,1
-122.379630201559,47.5383569823917,566,7207,3242603,Orchard Street Ravine,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,0
-122.380722026891,47.5382710098036,567,7207,3242603,Orchard Street Ravine,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-121.993125600597,47.7301301855652,568,2744,6261304,McCormick Park - Duvall,Park Site,City of Duvall,City,City of Duvall,City,City of Duvall,City,1
-122.384971719394,47.6679766033599,569,6973,3251105,Marvins Garden,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.349032555696,47.527378473351,570,2801,4243102,Highland Park Playground - Seattle,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.130586409113,47.3741329792782,571,5317,5222302,Friendship Park,Park Site,City of Covington,City,City of Covington,City,City of Covington,City,1
-122.358797185564,47.5511082620778,572,7190,3242405,Puget Creek Greenspace,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,0
-122.358894338018,47.5521563002634,573,7190,3242405,Puget Creek Greenspace,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.357947919303,47.552499700461,574,7190,3242405,Puget Creek Greenspace,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,2
-122.34338195567,47.6415875597532,575,7129,4251907,Westlake Greenbelt,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.041518421351,47.5303814094507,576,8212,6242806,Walen Hill Park,Park Site,City of Issaquah,City,City of Issaquah,City,City of Issaquah,City,0
-122.041588242373,47.5301796990749,577,8212,6242806,Walen Hill Park,Park Site,City of Issaquah,City,City of Issaquah,City,City of Issaquah,City,1
-122.341884668162,47.4505423256867,578,8106,4233003,Walker Creek Preserve,Park Site,City of Normandy Park,City,City of Normandy Park,City,City of Normandy Park,City,1
-121.805225983291,47.4896510481121,579,8223,8230802,Tennant Trailhead Park Conservation Easement,Other Site,City of North Bend,City,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-121.802867291914,47.489314078846,580,8223,8230802,Tennant Trailhead Park Conservation Easement,Other Site,City of North Bend,City,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.053437651886,47.33216453632,581,4892,6210403,Kentlake Athletic Fields,Other Site,Kent School District,School District,Kent School District,School District,Kent School District,School District,1
-122.385807472114,47.7644160222631,582,2414,3260201,Richmond Beach Saltwater Park,Park Site,City of Shoreline,City,City of Shoreline,City,City of Shoreline,City,0
-122.383240195277,47.765448427665,583,2414,3260201,Richmond Beach Saltwater Park,Park Site,City of Shoreline,City,City of Shoreline,City,City of Shoreline,City,1
-122.310562657991,47.5771231064521,584,7178,4240914,Stevens Place,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.268950190978,47.478004250237,585,2498,4231402,Joseph Foster Memorial Park,Park Site,City of Tukwila,City,City of Tukwila,City,City of Tukwila,City,0
-122.268851413824,47.4797721272653,586,2498,4231402,Joseph Foster Memorial Park,Park Site,City of Tukwila,City,City of Tukwila,City,City of Tukwila,City,1
-122.342470269708,47.499842545533,587,2869,4230705,Evergreen Pool Site,Pool Site,Highline School District,School District,Highline School District,School District,Highline School District,School District,1
-122.167587225469,47.4533443745159,588,2870,5232802,Renton Pool Site,Pool Site,Renton School District,School District,Renton School District,School District,Renton School District,School District,1
-122.152181436512,47.6768280876723,589,2786,5250301,Welcome Park,Park Site,City of Redmond,City,City of Redmond,City,City of Redmond,City,1
-122.341040785048,47.4605903393325,590,2494,4231901,Lakeview Park - Burien,Park Site,City of Burien,City,City of Burien,City,City of Burien,City,1
-121.673906355854,47.4733620271843,591,2983,9230201,Middle Fork Snoqualmie Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
